,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
568,569,Garanhuns,Professor Assistente,Em Exercício,Validada,67.21,21.2,7.89,29.41,8.71
569,570,POLI,Professor Adjunto,Em Exercício,Validada,147.73,87.88,44.47,13.24,2.14
570,571,FENSG,Professor Assistente,Em Exercício,Validada,138.75,60.18,52.34,0.0,26.23
571,572,Mata Norte,Professor Adjunto,Em Exercício,Validada,236.57,72.26,35.84,26.44,102.03
573,574,FCM,Professor Adjunto,Em Exercício,Validada,94.02,53.34,16.54,0.0,24.14
576,577,FOP,Professor Adjunto,Em Exercício,Validada,253.91,46.31,53.09,137.47,17.04
577,578,FENSG,Professor Adjunto,Em Exercício,Validada,131.75,55.95,30.58,27.54,17.68
578,579,FENSG,Professor Adjunto,Afastamento Parcial (6 meses),Validada,260.505,96.39,77.28,0.0,0.0
579,580,Petrolina,Professor Auxiliar,Em Exercício,Validada,50.88,38.39,2.83,9.66,0.0
580,581,FENSG,Professor Adjunto,Em Exercício,Validada,237.04,99.98,68.12,31.8,37.14
581,582,ESEF,Professor Associado,Em Exercício,Validada,188.97,62.02,86.43,15.18,25.34
582,583,ICB,Professor Assistente,Em Exercício,Validada,75.66,41.91,7.48,0.0,26.27
583,584,ICB,Professor Associado,Em Exercício,Validada,201.2,76.63,67.19,4.1,53.28
584,585,FOP,Professor Adjunto,Em Exercício,Validada,31.89,26.31,0.0,0.0,5.58
585,586,Reitoria,Professor Assistente,Em Exercício,Validada,85.4,30.75,8.18,4.81,41.66
586,587,ICB,Professor Adjunto,Em Exercício,Validada,235.7,93.93,80.58,55.86,5.33
587,588,Arcoverde,Professor Associado,Em Exercício,Validada,232.48,109.94,69.69,0.0,52.85
588,589,Petrolina,Professor Adjunto,Em Exercício,Validada,191.96,98.01,69.57,16.75,7.63
589,590,FCM,Professor Auxiliar,Em Exercício,Validada,114.63,48.11,12.57,0.0,53.95
590,591,Mata Norte,Professor Adjunto,Em Exercício,Validada,182.12,79.62,48.02,20.19,34.29
591,592,ICB,Professor Adjunto,Em Exercício,Validada,136.3,34.25,39.44,9.77,52.84
592,593,FCM,Professor Adjunto,Em Exercício,Validada,91.29,46.76,26.74,16.72,1.07
593,594,FENSG,Professor Adjunto,Em Exercício,Validada,235.8,107.48,58.63,20.74,48.95
594,595,FCM,Professor Adjunto,Em Exercício,Validada,80.18,25.52,35.81,4.25,14.6
595,596,FCM,Professor Adjunto,Em Exercício,Validada,119.1,79.49,20.21,1.59,17.81
596,597,Garanhuns,Professor Adjunto,Em Exercício,Validada,99.51,60.06,20.44,7.21,11.8
597,598,Mata Norte,Professor Adjunto,Em Exercício,Validada,30.87,19.6,5.69,0.0,5.58
598,599,Petrolina,Professor Adjunto,Em Exercício,Validada,172.04,69.82,44.55,36.67,21.0
599,600,Caruaru,Professor Assistente,Em Exercício,Validada,44.5,7.84,2.37,0.0,34.29
600,601,FOP,Professor Associado,Em Exercício,Validada,375.82,84.7,123.18,107.19,60.75
601,602,Petrolina,Professor Adjunto,Em Exercício,Validada,168.39,76.9,47.41,4.94,39.14
602,603,Garanhuns,Professor Adjunto,Em Exercício,Validada,61.77,37.31,19.51,2.81,2.14
603,604,FOP,Professor Adjunto,Em Exercício,Validada,49.31,29.86,10.43,0.0,9.02
604,605,POLI,Professor Assistente,Afastamento Parcial (6 meses),Validada,61.8,40.13,0.0,0.0,1.07
605,606,ESEF,Professor Associado,Em Exercício,Validada,236.01,77.73,123.99,0.0,34.29
606,607,POLI,Professor Adjunto,Em Exercício,Validada,33.1,31.12,0.0,0.0,1.98
607,608,POLI,Professor Adjunto,Em Exercício,Validada,20.6,18.0,2.6,0.0,0.0
608,609,Mata Norte,Professor Assistente,Em Exercício,Validada,42.69,31.46,3.34,2.31,5.58
609,610,Petrolina,Professor Adjunto,Em Exercício,Validada,218.6,102.49,33.46,59.03,23.62
611,612,Petrolina,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
612,613,Caruaru,Professor Adjunto,Em Exercício,Validada,221.94,41.69,7.3,31.19,141.76
613,614,FENSG,Professor Adjunto,Em Exercício,Validada,256.7,129.48,42.25,0.0,84.97
614,615,Mata Norte,Professor Adjunto,Em Exercício,Validada,201.23,66.19,54.01,8.21,72.82
615,616,Petrolina,Professor Adjunto,Em Exercício,Validada,65.16,38.07,24.04,0.0,3.05
616,617,FOP,Professor Adjunto,Em Exercício,Validada,225.39,50.97,18.71,86.8,68.91
617,618,ICB,Professor Adjunto,Em Exercício,Validada,74.14,32.89,21.55,4.59,15.11
618,619,FOP,Professor Associado,Em Exercício,Validada,303.36,137.92,103.13,45.16,17.15
619,620,Mata Norte,Professor Associado,Em Exercício,Validada,108.08,55.69,42.26,2.8,7.33
620,621,ESEF,Professor Adjunto,Em Exercício,Validada,30.99,18.69,9.49,2.81,0.0
621,622,Petrolina,Professor Auxiliar,Em Exercício,Validada,150.18,53.67,13.72,3.92,78.87
622,623,Petrolina,Professor Adjunto,Em Exercício,Validada,113.29,34.2,3.36,22.61,53.12
623,624,FCM,Professor Adjunto,Em Exercício,Validada,65.35,53.7,8.44,0.0,3.21
625,626,Reitoria,Professor Adjunto,Em Exercício,Validada,164.81,26.5,45.54,38.13,54.64
626,627,Mata Norte,Professor Adjunto,Em Exercício,Validada,176.7,98.52,60.47,8.22,9.49
627,628,FCM,Professor Adjunto,Em Exercício,Validada,135.63,34.07,51.0,0.53,50.03
628,629,FCM,Professor Assistente,Em Exercício,Validada,96.21,76.33,0.0,0.0,19.88
629,630,POLI,Professor Adjunto,Em Exercício,Validada,25.21,20.11,0.0,0.0,5.1
630,631,FCAP,Professor Adjunto,Em Exercício,Validada,289.14,78.26,116.9,50.9,43.08
631,632,FCAP,Professor Adjunto,Em Exercício,Validada,227.32,98.31,45.1,23.72,60.19
632,633,Arcoverde,Professor Adjunto,Em Exercício,Validada,77.34,35.77,27.34,13.16,1.07
633,634,Petrolina,Professor Assistente,Afastamento Parcial (1 mês),Validada,88.8225,29.98,22.57,4.81,24.63
634,635,Caruaru,Professor Assistente,Em Exercício,Validada,46.41,24.66,12.76,3.87,5.12
635,636,ICB,Professor Adjunto,Em Exercício,Validada,32.33,20.95,11.38,0.0,0.0
636,637,Serra Talhada,Professor Auxiliar,Em Exercício,Validada,167.51,39.44,54.92,32.0,41.15
637,638,Mata Norte,Professor Adjunto,Em Exercício,Validada,115.84,65.32,42.84,4.63,3.05
638,639,Garanhuns,Professor Assistente,Em Exercício,Validada,118.77,57.1,3.51,6.45,51.71
639,640,ICB,Professor Associado,Em Exercício,Validada,229.56,79.58,72.46,28.82,48.7
641,642,Caruaru,Professor Associado,Em Exercício,Validada,365.59,83.76,182.13,10.15,89.55
642,643,Caruaru,Professor Adjunto,Afastamento Parcial (6 meses),Validada,155.01,17.63,10.77,18.17,56.77
643,644,Caruaru,Professor Adjunto,Em Exercício,Validada,38.9,22.26,8.94,2.58,5.12
644,645,FCM,Professor Adjunto,Em Exercício,Validada,180.73,64.33,80.21,22.24,13.95
645,646,Petrolina,Professor Associado,Em Exercício,Validada,271.68,98.18,164.71,0.0,8.79
646,647,POLI,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
647,648,Petrolina,Professor Adjunto,Em Exercício,Validada,232.71,90.58,67.33,2.05,72.75
648,649,Petrolina,Professor Adjunto,Afastamento Parcial (5 meses),Validada,104.111,43.81,5.88,20.73,3.07
649,650,FCM,Professor Adjunto,Em Exercício,Validada,108.34,58.89,0.0,47.31,2.14
650,651,POLI,Professor Adjunto,Em Exercício,Validada,223.49,63.27,66.56,32.75,60.91
651,652,FOP,Professor Adjunto,Em Exercício,Validada,191.37,104.97,38.81,46.52,1.07
652,653,POLI,Professor Assistente,Em Exercício,Rejeitada,53.81,24.51,2.31,26.99,0.0
654,655,FCM,Professor Adjunto,Em Exercício,Validada,125.92,84.63,19.47,0.0,21.82
655,656,Mata Norte,Professor Adjunto,Em Exercício,Validada,117.91,82.19,25.22,0.0,10.5
656,657,FOP,Professor Adjunto,Em Exercício,Validada,31.08,19.05,5.46,5.5,1.07
657,658,POLI,Professor Adjunto,Em Exercício,Validada,58.01,43.92,10.04,0.0,4.05
658,659,FCM,Professor Auxiliar,Em Exercício,Validada,118.03,60.66,8.2,25.2,23.97
659,660,Reitoria,Professor Adjunto,Afastamento Parcial (5 meses),Validada,142.531,9.24,4.26,1.12,85.99
660,661,Arcoverde,Professor Adjunto,Em Exercício,Validada,324.21,72.07,178.63,7.36,66.15
661,662,FOP,Professor Adjunto,Em Exercício,Validada,60.71,53.79,2.24,0.53,4.15
663,664,Petrolina,Professor Adjunto,Em Exercício,Validada,131.53,58.56,20.92,2.86,49.19
664,665,Garanhuns,Professor Adjunto,Em Exercício,Validada,96.17,44.09,30.97,9.65,11.46
665,666,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
666,667,Serra Talhada,Professor Assistente,Em Exercício,Validada,132.21,38.49,30.0,32.41,31.31
667,668,Mata Norte,Professor Adjunto,Em Exercício,Validada,210.98,98.51,58.41,8.5,45.56
668,669,Serra Talhada,Professor Assistente,Em Exercício,Validada,225.16,59.53,27.47,41.88,96.28
669,670,FOP,Professor Adjunto,Em Exercício,Validada,236.04,102.37,14.61,49.08,69.98
670,671,Petrolina,Professor Assistente,Em Exercício,Rejeitada,124.9,60.61,25.61,33.56,5.12
671,672,Petrolina,Professor Adjunto,Em Exercício,Validada,186.34,83.8,84.33,10.65,7.56
672,673,Petrolina,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
673,674,POLI,Professor Adjunto,Em Exercício,Validada,88.5,61.33,15.33,10.77,1.07
675,676,Petrolina,Professor Associado,Em Exercício,Validada,254.18,85.74,113.15,16.09,39.2
676,677,Garanhuns,Professor Assistente,Em Exercício,Validada,82.6,58.08,2.74,9.08,12.7
677,678,FENSG,Professor Adjunto,Em Exercício,Validada,174.53,53.27,75.81,19.35,26.1
678,679,Garanhuns,Professor Adjunto,Em Exercício,Validada,103.19,30.42,27.39,3.35,42.03
679,680,FCM,Professor Associado,Em Exercício,Validada,140.23,46.7,44.1,10.42,39.01
681,682,FENSG,Professor Adjunto,Em Exercício,Validada,139.98,70.87,51.46,15.51,2.14
682,683,Garanhuns,Professor Adjunto,Em Exercício,Validada,155.01,73.61,47.58,17.52,16.3
683,684,FENSG,Professor Associado,Em Exercício,Validada,166.25,111.11,49.92,0.0,5.22
684,685,Petrolina,Professor Adjunto,Em Exercício,Validada,174.73,71.52,45.94,11.98,45.29
685,686,FOP,Professor Associado,Em Exercício,Validada,186.84,92.9,74.67,19.27,0.0
686,687,POLI,Professor Adjunto,Em Exercício,Validada,13.6,12.53,0.0,0.0,1.07
687,688,Petrolina,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
689,690,POLI,Professor Adjunto,Em Exercício,Validada,98.08,43.28,2.24,5.57,46.99
690,691,FENSG,Professor Adjunto,Em Exercício,Validada,123.35,54.53,7.52,23.33,37.97
692,693,Arcoverde,Professor Assistente,Em Exercício,Validada,228.37,90.61,80.37,31.72,25.67
693,694,Petrolina,Professor Adjunto,Em Exercício,Validada,139.26,57.79,23.23,23.95,34.29
694,695,FCAP,Professor Adjunto,Em Exercício,Validada,121.43,29.42,11.13,11.49,69.39
695,696,Petrolina,Professor Adjunto,Em Exercício,Validada,106.28,69.45,19.21,0.0,17.62
696,697,FOP,Professor Adjunto,Em Exercício,Validada,54.89,36.85,18.04,0.0,0.0
697,698,Reitoria,Professor Adjunto,Em Exercício,Validada,168.72,47.38,9.83,0.0,111.51
700,701,POLI,Professor Associado,Em Exercício,Validada,79.71,27.17,16.27,0.0,36.27
702,703,Petrolina,Professor Adjunto,Em Exercício,Validada,121.5,53.29,44.82,4.76,18.63
703,704,FOP,Professor Associado,Em Exercício,Validada,312.3,162.52,104.94,20.86,23.98
704,705,Garanhuns,Professor Adjunto,Em Exercício,Validada,132.81,60.34,30.05,14.23,28.19
705,706,Petrolina,Professor Adjunto,Em Exercício,Validada,102.2,51.56,38.2,2.63,9.81
706,707,FCM,Professor Adjunto,Em Exercício,Validada,66.44,31.78,15.41,5.52,13.73
707,708,FOP,Professor Assistente,Em Exercício,Validada,42.16,35.89,0.0,0.0,6.27
709,710,ICB,Professor Associado,Em Exercício,Validada,168.62,49.62,51.52,2.05,65.43
710,711,Mata Norte,Professor Adjunto,Em Exercício,Validada,172.84,63.67,48.55,17.76,42.86
711,712,ICB,Professor Adjunto,Em Exercício,Validada,86.44,34.14,27.25,11.84,13.21
712,713,Arcoverde,Professor Adjunto,Em Exercício,Validada,264.59,82.14,121.24,38.5,22.71
713,714,Serra Talhada,Professor Adjunto,Em Exercício,Validada,196.44,63.1,82.23,8.54,42.57
714,715,POLI,Professor Associado,Em Exercício,Validada,178.11,90.92,55.1,17.57,14.52
715,716,POLI,Professor Adjunto,Em Exercício,Validada,105.18,49.58,14.0,2.8,38.8
716,717,FCM,Professor Assistente,Em Exercício,Validada,75.86,69.58,5.21,0.0,1.07
717,718,POLI,Professor Adjunto,Em Exercício,Validada,113.13,40.74,27.93,0.0,44.46
718,719,Garanhuns,Professor Assistente,Em Exercício,Validada,40.69,12.0,5.13,18.44,5.12
719,720,Caruaru,Professor Adjunto,Em Exercício,Validada,86.48,33.52,1.67,2.81,48.48
720,721,FOP,Professor Adjunto,Em Exercício,Validada,106.87,72.66,20.67,2.08,11.46
721,722,Petrolina,Professor Associado,Em Exercício,Validada,313.05,120.85,127.37,0.0,64.83
722,723,ESEF,Professor Adjunto,Em Exercício,Validada,280.24,74.55,37.76,71.73,96.2
723,724,Petrolina,Professor Adjunto,Em Exercício,Validada,94.68,40.48,11.34,2.08,40.78
724,725,POLI,Professor Adjunto,Em Exercício,Validada,207.7,67.36,50.93,14.85,74.56
725,726,Caruaru,Professor Adjunto,Em Exercício,Validada,78.29,40.0,2.73,31.44,4.12
726,727,FOP,Professor Adjunto,Em Exercício,Validada,66.63,47.21,9.19,4.88,5.35
727,728,Petrolina,Professor Adjunto,Em Exercício,Validada,67.67,49.67,9.8,6.22,1.98
728,729,Reitoria,Professor Assistente,Em Exercício,Validada,100.54,23.0,8.17,43.7,25.67
729,730,ICB,Professor Adjunto,Em Exercício,Validada,79.53,52.78,23.24,0.0,3.51
731,732,FOP,Professor Adjunto,Em Exercício,Validada,193.46,96.5,2.43,90.43,4.1
732,733,Serra Talhada,Professor Assistente,Em Exercício,Validada,89.03,37.06,38.36,7.48,6.13
733,734,Garanhuns,Professor Adjunto,Em Exercício,Validada,218.81,93.99,44.47,7.64,72.71
734,735,FENSG,Professor Adjunto,Em Exercício,Validada,202.76,47.27,19.41,54.8,81.28
735,736,Petrolina,Professor Assistente,Em Exercício,Validada,48.88,46.17,0.0,0.0,2.71
736,737,Mata Norte,Professor Adjunto,Em Exercício,Validada,115.2,50.64,57.58,6.98,0.0
737,738,ICB,Professor Adjunto,Em Exercício,Validada,28.0,26.93,0.0,0.0,1.07
738,739,POLI,Professor Adjunto,Em Exercício,Validada,112.75,44.24,21.31,33.47,13.73
739,740,FCM,Professor Adjunto,Afastamento Parcial (6 meses),Validada,50.535,16.8,3.54,3.35,10.0
741,742,FENSG,Professor Adjunto,Em Exercício,Validada,63.54,24.0,8.9,0.0,30.64
742,743,FOP,Professor Associado,Em Exercício,Validada,112.91,76.68,30.07,4.02,2.14
743,744,FOP,Professor Associado,Em Exercício,Validada,289.87,88.3,157.4,0.0,44.17
744,745,Mata Norte,Professor Adjunto,Em Exercício,Validada,199.08,73.51,61.16,6.26,58.15
745,746,FENSG,Professor Adjunto,Em Exercício,Validada,203.15,29.96,42.78,13.96,116.45
746,747,POLI,Professor Associado,Em Exercício,Validada,138.08,42.24,40.37,2.05,53.42
747,748,POLI,Professor Assistente,Em Exercício,Validada,27.22,26.15,0.0,0.0,1.07
748,749,POLI,Professor Adjunto,Em Exercício,Validada,43.26,35.7,0.0,0.0,7.56
749,750,POLI,Professor Adjunto,Em Exercício,Validada,105.06,25.4,78.59,0.0,1.07
750,751,POLI,Professor Adjunto,Em Exercício,Validada,132.61,73.37,22.81,0.0,36.43
751,752,FCM,Professor Assistente,Em Exercício,Validada,79.6,60.26,5.85,7.05,6.44
752,753,POLI,Professor Associado,Em Exercício,Validada,137.05,62.67,64.38,0.0,10.0
753,754,FCAP,Professor Auxiliar,Em Exercício,Validada,47.72,37.2,0.0,10.52,0.0
754,755,FCM,Professor Adjunto,Em Exercício,Validada,68.52,43.35,11.51,13.66,0.0
755,756,Mata Norte,Professor Adjunto,Em Exercício,Validada,55.67,15.77,6.66,24.25,8.99
756,757,Mata Sul,Professor Adjunto,Em Exercício,Validada,85.58,47.08,18.36,11.12,9.02
757,758,Petrolina,Professor Adjunto,Em Exercício,Validada,131.68,50.09,28.64,2.08,50.87
758,759,ICB,Professor Adjunto,Em Exercício,Validada,173.53,52.69,50.24,9.67,60.93
759,760,FCM,Professor Adjunto,Em Exercício,Validada,121.62,82.07,35.77,0.0,3.78
760,761,Garanhuns,Professor Adjunto,Em Exercício,Validada,159.41,43.29,24.31,0.0,91.81
762,763,FCM,Professor Adjunto,Em Exercício,Validada,78.27,31.31,35.54,0.0,11.42
763,764,Petrolina,Professor Adjunto,Em Exercício,Validada,112.4,38.07,16.7,12.28,45.35
764,765,ICB,Professor Adjunto,Em Exercício,Validada,249.11,44.08,107.29,71.75,25.99
765,766,FENSG,Professor Associado,Em Exercício,Validada,347.94,134.08,77.78,36.4,99.68
766,767,POLI,Professor Associado,Em Exercício,Validada,162.81,94.46,66.21,0.0,2.14
767,768,ESEF,Professor Adjunto,Em Exercício,Validada,40.97,29.08,8.01,2.81,1.07
768,769,Garanhuns,Professor Associado,Em Exercício,Validada,192.62,77.97,68.38,27.76,18.51
769,770,Garanhuns,Professor Assistente,Em Exercício,Validada,187.18,87.51,48.58,12.18,38.91
771,772,Caruaru,Professor Adjunto,Em Exercício,Validada,100.08,37.55,9.41,25.08,28.04
772,773,Arcoverde,Professor Adjunto,Em Exercício,Validada,243.22,66.39,111.69,9.96,55.18
773,774,POLI,Professor Associado,Em Exercício,Validada,68.22,42.52,25.7,0.0,0.0
774,775,Mata Norte,Professor Assistente,Em Exercício,Validada,92.66,16.37,2.83,5.88,67.58
775,776,Garanhuns,Professor Adjunto,Em Exercício,Validada,292.63,152.98,87.36,32.91,19.38
776,777,Mata Norte,Professor Adjunto,Em Exercício,Validada,95.35,45.87,30.22,2.54,16.72
777,778,Petrolina,Professor Adjunto,Em Exercício,Validada,238.91,125.12,84.21,6.9,22.68
778,779,FENSG,Professor Adjunto,Em Exercício,Validada,170.6,91.48,52.45,0.0,26.67
779,780,Reitoria,Professor Associado,Em Exercício,Validada,244.2,114.6,59.29,2.81,67.5
780,781,POLI,Professor Adjunto,Em Exercício,Validada,45.9,31.92,10.91,0.0,3.07
782,783,Petrolina,Professor Associado,Em Exercício,Validada,228.2,74.85,68.14,2.8,82.41
783,784,Petrolina,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
784,785,Garanhuns,Professor Adjunto,Em Exercício,Validada,138.34,91.56,22.58,17.03,7.17
785,786,Petrolina,Professor Adjunto,Em Exercício,Validada,214.37,131.26,56.15,0.0,26.96
786,787,Salgueiro,Professor Adjunto,Em Exercício,Validada,197.04,38.97,15.02,23.41,119.64
787,788,Reitoria,Professor Assistente,Em Readaptação,Validada,6.5,,,,
788,789,ESEF,Professor Adjunto,Em Exercício,Validada,23.1,19.84,1.12,0.0,2.14
789,790,FOP,Professor Assistente,Em Exercício,Validada,58.22,44.44,3.85,0.53,9.4
790,791,FOP,Professor Adjunto,Em Exercício,Validada,163.23,79.68,7.69,18.82,57.04
791,792,Caruaru,Professor Assistente,Afastamento Total,Validada,6.5,,,,
792,793,Petrolina,Professor Adjunto,Em Exercício,Validada,199.63,93.03,84.45,10.08,12.07
793,794,Petrolina,Professor Adjunto,Em Exercício,Validada,202.16,48.92,62.16,47.59,43.49
794,795,ESEF,Professor Adjunto,Em Exercício,Validada,124.59,78.97,21.55,15.05,9.02
795,796,Petrolina,Professor Adjunto,Em Exercício,Validada,155.49,77.83,70.71,0.0,6.95
796,797,Petrolina,Professor Adjunto,Afastamento Parcial (6 meses),Validada,84.54,21.67,17.66,9.08,7.95
797,798,Mata Norte,Professor Adjunto,Em Exercício,Validada,89.84,47.62,19.1,10.32,12.8
798,799,ICB,Professor Associado,Em Exercício,Validada,181.97,78.66,64.51,0.0,38.8
799,800,Serra Talhada,Professor Auxiliar,Em Exercício,Validada,146.08,29.76,100.44,15.88,0.0
800,801,Reitoria,Professor Adjunto,Em Exercício,Validada,0.0,9.6,0.0,0.0,12.97
801,802,FOP,Professor Associado,Em Exercício,Validada,104.87,55.34,45.31,2.08,2.14
802,803,POLI,Professor Auxiliar,Em Exercício,Validada,33.81,25.79,0.0,0.0,8.02
803,804,POLI,Professor Adjunto,Em Exercício,Validada,33.91,32.31,0.0,0.53,1.07
804,805,Garanhuns,Professor Auxiliar,Em Exercício,Validada,37.42,25.12,12.3,0.0,0.0
806,807,FCM,Professor Assistente,Em Exercício,Validada,73.96,65.42,3.87,2.81,1.86
807,808,FOP,Professor Adjunto,Em Exercício,Validada,95.34,63.46,17.01,3.8,11.07
808,809,FENSG,Professor Assistente,Em Exercício,Validada,109.73,53.44,30.99,0.0,25.3
809,810,Mata Norte,Professor Adjunto,Em Exercício,Validada,83.31,59.25,11.47,11.8,0.79
810,811,FCAP,Professor Adjunto,Em Exercício,Validada,159.12,53.33,65.88,17.72,22.19
811,812,Garanhuns,Professor Adjunto,Em Exercício,Validada,196.85,118.01,56.9,19.23,2.71
812,813,Reitoria,Professor Adjunto,Em Exercício,Validada,139.58,8.86,10.8,7.66,112.26
813,814,Reitoria,Professor Adjunto,Em Exercício,Validada,112.5,11.19,3.72,0.0,97.59
814,815,FENSG,Professor Adjunto,Em Exercício,Validada,115.95,37.93,18.8,13.27,45.95
815,816,FOP,Professor Adjunto,Em Exercício,Validada,130.59,40.4,11.85,42.98,35.36
816,817,POLI,Professor Adjunto,Em Exercício,Validada,62.14,43.53,13.19,3.28,2.14
818,819,Petrolina,Professor Adjunto,Em Exercício,Validada,330.46,119.41,134.11,8.35,68.59
819,820,Petrolina,Professor Associado,Afastamento Total,Validada,6.5,,,,
820,821,FOP,Professor Associado,Em Exercício,Validada,202.33,99.24,90.2,9.68,3.21
821,822,Mata Norte,Professor Adjunto,Em Exercício,Validada,238.29,61.94,29.91,82.86,63.58
822,823,FENSG,Professor Adjunto,Em Exercício,Validada,198.25,81.24,39.63,18.63,58.75
823,824,Petrolina,Professor Assistente,Em Exercício,Validada,53.42,35.05,6.69,2.05,9.63
824,825,Garanhuns,Professor Adjunto,Em Exercício,Validada,169.68,68.4,43.3,0.0,57.98
825,826,Serra Talhada,Professor Assistente,Em Exercício,Validada,23.38,17.27,0.53,0.0,5.58
826,827,POLI,Professor Adjunto,Em Exercício,Validada,67.41,21.9,5.6,5.62,34.29
827,828,Salgueiro,Professor Assistente,Em Exercício,Validada,33.09,31.01,2.08,0.0,0.0
828,829,FENSG,Professor Adjunto,Em Exercício,Validada,308.64,139.79,130.72,10.16,27.97
829,830,FENSG,Professor Adjunto,Em Exercício,Validada,182.68,90.93,33.0,10.53,48.22
830,831,FENSG,Professor Assistente,Em Exercício,Validada,109.49,63.24,16.82,8.34,21.09
832,833,Garanhuns,Professor Adjunto,Em Exercício,Validada,192.57,99.87,51.2,17.26,24.24
833,834,Petrolina,Professor Adjunto,Em Exercício,Validada,225.62,65.79,90.18,0.0,69.65
834,835,POLI,Professor Associado,Em Exercício,Validada,211.54,74.49,95.51,8.95,32.59
835,836,ESEF,Professor Adjunto,Em Exercício,Validada,50.28,30.28,6.62,5.68,7.7
837,838,POLI,Professor Assistente,Afastamento Total,Validada,6.5,,,,
838,839,Caruaru,Professor Adjunto,Em Exercício,Validada,289.9,103.13,88.23,8.55,89.99
839,840,ICB,Professor Assistente,Em Exercício,Rejeitada,112.12,78.01,1.15,16.52,16.44
840,841,POLI,Professor Associado,Em Exercício,Validada,269.84,137.04,59.98,2.08,70.74
841,842,Petrolina,Professor Assistente,Em Exercício,Validada,95.74,55.13,20.6,7.76,12.25
842,843,Garanhuns,Professor Adjunto,Em Exercício,Validada,34.95,13.51,5.09,0.0,16.35
844,845,ICB,Professor Associado,Em Exercício,Validada,127.01,58.74,56.85,6.91,4.51
845,846,POLI,Professor Adjunto,Em Exercício,Validada,46.06,43.28,1.71,0.0,1.07
846,847,POLI,Professor Adjunto,Em Exercício,Validada,34.16,32.02,0.0,0.0,2.14
847,848,Arcoverde,Professor Adjunto,Em Exercício,Validada,76.23,46.13,8.6,21.5,0.0
848,849,Garanhuns,Professor Auxiliar,Em Exercício,Validada,40.93,33.6,0.0,0.0,7.33
849,850,POLI,Professor Assistente,Em Exercício,Validada,137.98,52.43,13.11,15.29,57.15
850,851,ICB,Professor Adjunto,Em Exercício,Validada,103.6,28.11,55.71,5.18,14.6
851,852,POLI,Professor Adjunto,Em Exercício,Validada,61.44,45.72,3.89,4.27,7.56
852,853,Reitoria,Professor Adjunto,Em Exercício,Validada,206.42,55.91,55.64,15.01,79.86
853,854,Petrolina,Professor Adjunto,Em Exercício,Validada,190.08,55.41,93.69,0.53,40.45
855,856,POLI,Professor Assistente,Em Exercício,Validada,141.39,54.86,23.94,13.62,48.97
856,857,Caruaru,Professor Assistente,Afastamento Parcial (3 meses),Validada,106.475,27.08,52.35,4.68,1.07
857,858,ESEF,Professor Adjunto,Afastamento Parcial (6 meses),Validada,400.905,103.43,132.36,31.48,0.0
858,859,Petrolina,Professor Adjunto,Em Exercício,Validada,395.77,170.37,177.06,16.61,31.73
859,860,POLI,Professor Assistente,Em Exercício,Validada,69.59,17.22,1.59,0.0,50.78
860,861,FCM,Professor Adjunto,Em Exercício,Validada,175.66,66.66,27.32,25.24,56.44
861,862,ICB,Professor Adjunto,Em Exercício,Validada,59.76,25.47,22.67,6.04,5.58
862,863,Petrolina,Professor Adjunto,Em Exercício,Validada,0.0,27.61,13.44,3.8,7.49
863,864,Arcoverde,Professor Adjunto,Em Exercício,Rejeitada,51.38,20.42,6.64,7.27,2.05
864,865,Serra Talhada,Professor Auxiliar,Em Exercício,Rejeitada,90.52,84.6,0.53,5.39,0.0
865,866,Petrolina,Professor Adjunto,Em Exercício,Validada,190.12,87.1,43.75,8.54,50.73
866,867,Serra Talhada,Professor Assistente,Em Exercício,Validada,94.82,38.03,25.84,26.83,4.12
867,868,ICB,Professor Adjunto,Em Exercício,Validada,232.17,69.82,73.34,10.84,78.17
868,869,Garanhuns,Professor Adjunto,Em Exercício,Validada,295.57,110.47,65.06,44.02,76.02
869,870,Arcoverde,Professor Assistente,Em Exercício,Validada,94.09,47.05,13.31,10.79,22.94
870,871,Petrolina,Professor Adjunto,Em Exercício,Validada,218.39,58.28,56.48,6.15,97.48
871,872,FCAP,Professor Adjunto,Em Exercício,Validada,49.65,19.92,10.8,9.71,9.22
872,873,FCM,Professor Auxiliar,Em Exercício,Validada,111.93,90.66,2.05,8.22,11.0
873,874,FCAP,Professor Adjunto,Em Exercício,Validada,88.58,45.07,34.62,2.8,6.09
874,875,ESEF,Professor Assistente,Em Exercício,Validada,180.93,63.26,80.7,31.75,5.22
875,876,ESEF,Professor Adjunto,Em Exercício,Validada,188.89,64.17,53.43,12.16,59.13
876,877,ESEF,Professor Assistente,Em Exercício,Validada,96.76,24.05,17.61,6.21,48.89
877,878,ESEF,Professor Assistente,Em Exercício,Validada,159.89,50.31,42.25,3.73,63.6
881,882,FCAP,Professor Adjunto,Em Exercício,Validada,65.43,43.3,0.53,14.27,7.33
