,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
328,329,FCM,Professor Adjunto,Em Exercício,Validada,114.84,93.28,18.82,1.67,1.07
329,330,ICB,Professor Adjunto,Em Exercício,Validada,98.46,24.28,20.51,6.68,46.99
330,331,FCM,Professor Adjunto,Em Exercício,Validada,84.64,36.47,38.77,6.28,3.12
331,332,Garanhuns,Professor Associado,Em Exercício,Validada,209.23,108.64,43.69,11.39,45.51
332,333,FOP,Professor Adjunto,Em Exercício,Validada,256.66,107.44,113.45,18.8,16.97
334,335,Garanhuns,Professor Adjunto,Em Exercício,Validada,122.61,23.46,7.02,51.19,40.94
335,336,POLI,Professor Assistente,Em Exercício,Validada,85.55,37.79,9.46,8.06,30.24
336,337,Arcoverde,Professor Adjunto,Em Exercício,Validada,127.88,48.93,25.02,0.53,53.4
337,338,Arcoverde,Professor Assistente,Em Exercício,Rejeitada,38.31,37.24,0.0,0.0,1.07
338,339,FCM,Professor Adjunto,Em Exercício,Validada,167.18,50.55,39.33,7.38,69.92
339,340,Arcoverde,Professor Adjunto,Em Exercício,Validada,37.86,25.14,2.4,2.86,7.46
340,341,Petrolina,Professor Auxiliar,Em Exercício,Validada,0.0,21.0,0.0,0.0,0.0
341,342,Reitoria,Professor Adjunto,Em Exercício,Validada,166.51,45.12,8.42,3.35,109.62
342,343,Petrolina,Professor Adjunto,Em Exercício,Validada,149.37,44.08,60.68,29.04,15.57
343,344,Petrolina,Professor Adjunto,Em Exercício,Validada,312.75,79.76,156.65,10.48,65.86
344,345,Petrolina,Professor Adjunto,Em Exercício,Validada,183.65,62.68,72.78,28.14,20.05
345,346,Garanhuns,Professor Adjunto,Em Exercício,Validada,69.68,24.61,9.71,0.0,35.36
346,347,ICB,Professor Adjunto,Em Exercício,Validada,48.47,13.06,1.12,0.0,34.29
347,348,FENSG,Professor Associado,Em Exercício,Validada,153.58,61.03,51.44,2.31,38.8
348,349,FCAP,Professor Adjunto,Em Exercício,Validada,298.99,104.34,96.76,27.54,70.35
349,350,Mata Norte,Professor Adjunto,Afastamento Parcial (6 meses),Validada,80.22,30.88,14.05,7.48,1.07
350,351,Petrolina,Professor Assistente,Em Exercício,Validada,102.54,58.4,16.14,7.71,20.29
351,352,POLI,Professor Assistente,Em Exercício,Validada,30.84,29.13,1.71,0.0,0.0
352,353,FENSG,Professor Assistente,Em Exercício,Validada,95.05,81.46,3.5,0.0,10.09
353,354,FCM,Professor Auxiliar,Em Exercício,Validada,110.27,74.57,28.16,0.53,7.01
354,355,POLI,Professor Assistente,Em Exercício,Validada,38.93,33.65,0.0,0.53,4.75
356,357,FENSG,Professor Adjunto,Em Exercício,Validada,173.02,94.27,37.4,9.4,31.95
357,358,FENSG,Professor Adjunto,Em Exercício,Validada,112.19,28.86,2.77,29.45,51.11
358,359,FCAP,Professor Assistente,Afastamento Parcial (2 meses),Validada,169.797,48.28,4.96,80.0,12.3
359,360,Mata Norte,Professor Adjunto,Em Exercício,Validada,117.77,59.26,53.57,4.94,0.0
360,361,FENSG,Professor Adjunto,Em Exercício,Validada,119.73,33.66,11.78,28.12,46.17
361,362,FENSG,Professor Associado,Em Exercício,Validada,252.16,148.06,92.69,7.11,4.3
363,364,POLI,Professor Associado,Em Exercício,Validada,201.8,51.23,115.75,0.53,34.29
364,365,Mata Norte,Professor Adjunto,Em Exercício,Validada,238.11,110.31,59.68,25.3,42.82
365,366,Garanhuns,Professor Adjunto,Em Exercício,Validada,80.73,48.16,24.61,3.45,4.51
366,367,FCM,Professor Assistente,Em Exercício,Validada,88.76,38.44,1.71,0.0,48.61
367,368,Arcoverde,Professor Assistente,Em Exercício,Validada,0.0,34.43,0.0,0.0,0.0
368,369,POLI,Professor Assistente,Em Exercício,Validada,72.73,53.8,10.13,0.0,8.8
369,370,Serra Talhada,Professor Auxiliar,Em Exercício,Validada,57.08,22.86,14.89,16.26,3.07
370,371,Petrolina,Professor Adjunto,Em Exercício,Validada,158.82,55.63,73.44,9.93,19.82
371,372,FENSG,Professor Assistente,Em Exercício,Validada,30.54,20.34,10.2,0.0,0.0
372,373,Mata Norte,Professor Adjunto,Em Exercício,Validada,172.32,44.21,35.65,3.87,88.59
373,374,FCM,Professor Adjunto,Em Exercício,Validada,223.71,109.15,14.74,82.23,17.59
374,375,FCM,Professor Adjunto,Em Exercício,Validada,106.5,101.2,5.3,0.0,0.0
375,376,POLI,Professor Adjunto,Em Exercício,Validada,259.06,106.32,77.26,5.23,70.25
376,377,ICB,Professor Auxiliar,Em Exercício,Validada,61.61,32.99,27.04,0.0,1.58
377,378,ESEF,Professor Adjunto,Em Exercício,Validada,118.03,69.87,24.16,7.35,16.65
378,379,Caruaru,Professor Assistente,Em Exercício,Validada,86.04,30.21,13.66,0.53,41.64
379,380,Petrolina,Professor Assistente,Em Exercício,Validada,63.82,40.55,11.38,2.63,9.26
380,381,Garanhuns,Professor Adjunto,Em Exercício,Validada,188.06,113.94,35.62,18.76,19.74
381,382,ICB,Professor Adjunto,Em Exercício,Validada,138.77,98.36,16.13,14.47,9.81
382,383,FCAP,Professor Auxiliar,Em Exercício,Validada,59.59,38.73,0.0,0.0,20.86
383,384,Petrolina,Professor Assistente,Em Exercício,Validada,29.86,16.28,0.0,6.12,7.46
384,385,ESEF,Professor Associado,Em Exercício,Validada,115.77,39.42,55.25,10.3,10.8
385,386,Caruaru,Professor Adjunto,Em Exercício,Validada,54.57,22.78,16.75,0.53,14.51
388,389,POLI,Professor Associado,Em Exercício,Validada,279.79,93.72,145.92,2.35,37.8
389,390,Garanhuns,Professor Adjunto,Afastamento Parcial (2 meses),Validada,154.863,39.21,40.86,6.31,46.36
390,391,FOP,Professor Adjunto,Em Exercício,Validada,140.74,82.55,26.82,22.4,8.97
391,392,FCM,Professor Adjunto,Em Exercício,Validada,121.91,60.91,19.76,15.3,25.94
392,393,FCM,Professor Adjunto,Em Exercício,Validada,68.11,32.5,18.36,9.05,8.2
393,394,Garanhuns,Professor Assistente,Em Exercício,Validada,56.78,52.17,0.0,4.61,0.0
394,395,Garanhuns,Professor Assistente,Em Exercício,Validada,62.77,41.79,12.7,7.21,1.07
395,396,FCM,Professor Assistente,Em Exercício,Validada,109.4,49.26,5.74,2.71,51.69
396,397,POLI,Professor Assistente,Em Exercício,Validada,53.29,28.15,10.54,0.0,14.6
397,398,FCAP,Professor Assistente,Em Exercício,Validada,124.26,53.19,5.93,10.56,54.58
398,399,Garanhuns,Professor Assistente,Em Exercício,Validada,57.79,50.14,6.58,0.0,1.07
399,400,FCM,Professor Associado,Em Exercício,Validada,191.74,125.1,58.47,5.12,3.05
401,402,Mata Norte,Professor Adjunto,Em Exercício,Validada,157.18,78.9,28.84,0.0,49.44
402,403,Petrolina,Professor Adjunto,Em Exercício,Validada,89.14,39.23,48.89,1.02,0.0
403,404,FCAP,Professor Adjunto,Em Exercício,Validada,129.77,78.23,36.04,0.0,15.5
405,406,Mata Norte,Professor Adjunto,Em Exercício,Validada,151.14,107.82,35.63,7.69,0.0
406,407,FCAP,Professor Auxiliar,Em Exercício,Rejeitada,38.83,18.72,4.45,6.64,9.02
407,408,FCM,Professor Adjunto,Em Exercício,Validada,60.04,49.36,10.68,0.0,0.0
408,409,POLI,Professor Assistente,Em Exercício,Validada,56.34,27.31,16.82,2.58,9.63
410,411,POLI,Professor Assistente,Em Exercício,Validada,0.0,0.0,0.0,0.0,4.05
411,412,FOP,Professor Adjunto,Em Exercício,Validada,104.27,72.89,20.04,7.83,3.51
412,413,Mata Norte,Professor Adjunto,Em Exercício,Validada,154.46,71.29,59.5,14.25,9.42
413,414,POLI,Professor Assistente,Em Exercício,Validada,80.28,9.79,0.0,12.01,58.48
414,415,POLI,Professor Auxiliar,Afastamento Total,Validada,6.5,,,,
415,416,FOP,Professor Associado,Em Exercício,Validada,271.66,148.47,74.28,5.6,43.31
416,417,ICB,Professor Adjunto,Em Exercício,Validada,0.0,23.05,6.35,0.0,0.0
418,419,POLI,Professor Adjunto,Em Exercício,Validada,69.79,34.83,29.4,2.05,3.51
419,420,FCM,Professor Adjunto,Em Exercício,Validada,132.91,56.82,23.01,12.35,40.73
420,421,Mata Norte,Professor Adjunto,Em Exercício,Validada,163.56,62.68,38.54,8.93,53.41
421,422,Garanhuns,Professor Assistente,Em Exercício,Validada,40.77,35.87,1.71,0.0,3.19
422,423,FOP,Professor Adjunto,Em Exercício,Validada,128.05,93.02,11.67,17.78,5.58
423,424,FCAP,Professor Adjunto,Em Exercício,Validada,50.39,28.69,17.63,0.0,4.07
424,425,ICB,Professor Adjunto,Em Exercício,Validada,168.05,82.05,64.64,9.29,12.07
425,426,Serra Talhada,Professor Adjunto,Em Exercício,Validada,125.55,24.12,80.59,8.4,12.44
426,427,POLI,Professor Adjunto,Em Exercício,Validada,74.64,26.84,1.71,2.58,43.51
427,428,ESEF,Professor Adjunto,Em Exercício,Validada,225.42,80.88,59.37,30.19,54.98
428,429,Mata Norte,Professor Associado,Em Exercício,Validada,204.31,117.14,69.05,14.91,3.21
429,430,POLI,Professor Associado,Em Exercício,Validada,183.07,82.43,79.52,4.66,16.46
430,431,Reitoria,Professor Associado,Afastamento Total,Validada,6.5,,,,
431,432,ESEF,Professor Adjunto,Em Exercício,Validada,67.89,14.42,15.3,2.81,35.36
432,433,FCM,Professor Associado,Em Exercício,Validada,133.43,79.77,49.32,4.34,0.0
433,434,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
434,435,Garanhuns,Professor Assistente,Em Exercício,Validada,0.0,20.42,3.57,0.0,1.9
435,436,FENSG,Professor Adjunto,Em Exercício,Validada,160.32,69.96,23.69,16.88,49.79
