Docente,Cargo,Nota_RAD,Unidade,Ano
3b2f4a71cf38f86a48a3b494cf16d0112275b703d02fc8d2c4d140cc0e6624a2,Professor Adjunto,113.04,Garanhuns,2017
268e5747ea33b06f581025260877053f5cf9e4f52a8d00b8ebe5c8fcfaa2bc51,Professor Adjunto,232.14,Garanhuns,2017
331a659779a9de717a7506a372b59fa9e48ac29bdcb077884f1620fa5bf142da,Professor Assistente,42.05,FCM,2017
e34bbee95b5182dac7af6c1bd6322d1ac64fd64fbf517f079dcb49d378c050ee,Professor Adjunto,234.82,FENSG,2017
13203c96e5790e074610b43c568c6051799a008e40ef6f8a9cd64db59761eeb8,Professor Assistente,125.95,Salgueiro,2017
61e5ef25e104e66f01487d6c896731d14896c417e9f7620f0cba336bb1a45dcd,Professor Adjunto,129.86,Garanhuns,2017
0bb76a7a4253f59eef227f0f0d99c21a676f7807be6ad52f809af3189d78352e,Professor Adjunto,13.12,ICB,2017
ca8c41e220c070a9d60608a0af2b2697582aff09ddb12ce28640f450b5e01701,Professor Assistente,94.52,Petrolina,2017
7c3fd8b9e2bd9244aca3db2fab6f5357818c3e5dfa16906258c463ceb8c2c551,Professor Adjunto,164.95,POLI,2017
d04d68d361a59de5c49de4a4aa5be097ee6a5084d16c5efaabdf027fdbe2f777,Professor Assistente,,Garanhuns,2017
95b6361563bb1a17610c5c00979bcc2a2b08e455240a31ce335325c3900e57a7,Professor Adjunto,137.91,Mata Norte,2017
ef9617253a7a9781e62d607a30dfe4e73981c76d541875b2af8019e1b3e5e4b2,Professor Adjunto,,FCM,2017
beac781cf99b7d42e9055b34bb5c2dc2d77a3179a441d607adf4b406ffaaf0d2,Professor Adjunto,,ICB,2017
6ff510b21729e2ef9e230d3f70d33b5ce65da88d4cf49b443cf6aa810596c9a0,Professor Assistente,45.0,Garanhuns,2017
c571d5a262d62e80bf740077faab02f4786800116e8b31f41593f8f5018800e6,Professor Adjunto,,Garanhuns,2017
7487cb413916176ee6703d71072d3f9bfe9783c36115c8124d69f6abf567e56a,Professor Adjunto,111.86,Garanhuns,2017
39e755e785c8ea41a699c40447d1dafc8b61b43139f4269f7c43a4482bcb0447,Professor Adjunto,27.03,Garanhuns,2017
e20e5c6a8217ad29f09eb3c8b9f2fd4c91e846c2a0d9ba54d7182542ddc24e6c,Professor Assistente,73.26,POLI,2017
e5fc1824fac8d6fc8c43b3c6c902bee2f83480e6fb2aa14eb48b84b37ae92477,Professor Auxiliar,,FCM,2017
00e657ded25e0b36148216b3faf772a4d596b0e7c7df1363320d8444e50a1f3e,Professor Assistente,,FCM,2017
6368de2862811a9159ab89abcae3cb9cc4289201df412481e92d71f997767360,Professor Assistente,107.23,Petrolina,2017
4d988829070015a95efd374d5db6f63c6ac10285ecf71b05ac1ed73ab4214169,Professor Assistente,138.12,Salgueiro,2017
eec6cc81c98e361a7d98efcccaee693390c7c70564d1d3b5740c10093bb81947,Professor Adjunto,133.88,Mata Norte,2017
014915345227cf68c960bd2f2fe872a8da9bd530688b98f1399ff6fd8a21fb8f,Professor Adjunto,114.52,Garanhuns,2017
206f8cb2b1fbb35293414fcfbca43fd463f8d72218d258a4f2f9246678e04bc3,Professor Assistente,52.12,Mata Norte,2017
64054d8092ebdd04ae20aadbe8ef3f168495fa514af6865e12f421470c8f7cb7,Professor Assistente,68.54,Garanhuns,2017
38a26b7e6efa0db1877a64234a764f1e0812077625aa6330bd1ee757623db132,Professor Assistente,,FOP,2017
